Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
ILF2,Q12905,4.24996784396907,,,,,,,,,0.6283856441115764,,,,
LGALS3,P17931,4.23237001058146,,,,,,,,,0.626583628433872,,,,
GPI,P06744,4.22300182554032,,,,,,,,,0.6256212691639359,,,,
CCT4,P50991,4.21712052821848,,,,,,,,,0.6250160136286097,,,,
KHSRP,Q92945,4.21487471244156,,,,,,,,,0.6247846697071502,,,,
TGM2,P21980,4.16930093091007,,,,,,,,,0.6200632426717547,,,,
PSME2,Q9UL46,4.12599616456418,,,,,,,,,0.6155288199266659,,,,
SNRPD3,P62318,4.1235559569272,,,,,,,,,0.6152718923439947,,,,
FABP5,Q01469,4.09884349385049,,,,,,,,,0.6126613359659908,,,,
RPS5,P46782,4.08907632901658,,,,,,,,,0.6116252174169714,,,,
LASP1,Q14847,4.0852988806952,,,,,,,,,0.6112238350393983,,,,
BTF3,P20290,4.06911669536368,,,,,,,,,0.6095001448608528,,,,
G3BP1,Q13283,4.06887381897682,,,,,,,,,0.6094742220302859,,,,
MDH1,P40925,4.04276262599675,,,,,,,,,0.6066782421384699,,,,
ANP32A,P39687,4.04034183221905,,,,,,,,,0.6064181100527476,,,,
GARS1,P41250,4.02293281982963,,,,,,,,,0.6045427802170746,,,,
SLIRP,Q9GZT3,3.99799962734593,,,,,,,,,0.6018427493014543,,,,
HDGF,P51858,3.96628577375424,,,,,,,,,0.5983840022276614,,,,
BOLA2B,Q9H3K6,3.9609939312562,,,,,,,,,0.5978041770107145,,,,
MYL12B,O14950,3.95517953629607,,,,,,,,,0.597166202082238,,,,
LRRC59,Q96AG4,3.95025479663309,,,,,,,,,0.5966251090955559,,,,
HNRNPL,P14866,3.94187350702877,,,,,,,,,0.5957026838498631,,,,
UBE2L3,P68036,3.9331280015248,,,,,,,,,0.5947380805189018,,,,
XRCC5,P13010,3.91318430365382,,,,,,,,,0.5925303028393214,,,,
CALU,O43852,3.91062774966353,,,,,,,,,0.5922464776853883,,,,
CNN3,Q15417,3.88025381535476,,,,,,,,,0.5888601346155244,,,,
HSPA4,P34932,3.86558729412377,,,,,,,,,0.587215485116142,,,,
RAB7A,P51149,3.86264558386504,,,,,,,,,0.5868848613850518,,,,
CCT2,P78371,3.86153346491912,,,,,,,,,0.586759802884538,,,,
CSE1L,P55060,3.86020812063485,,,,,,,,,0.5866107200102783,,,,
