Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
RL24,Q8BP67,15.6350989889558,,,,,,,,,1.1941006351933545,,,,
RL12,P35979,11.7329069300258,,,,,,,,,1.0694056256929696,,,,
VDAC2,Q60930,10.4541558822301,,,,,,,,,1.0192889715879827,,,,
ACTN4,P57780,1.80259727682419,,,,,,,,,0.25589871064418357,,,,
RS18,P62270,13.3890975035006,,,,,,,,,1.1267513042368735,,,,
CYTB,Q62426,19.953224193775,,,,,,,,,1.300013082299834,,,,
RL36,P47964,6.7909286004192,,,,,,,,,0.8319291643340754,,,,
SAHH,P50247,3.21585056857753,,,,,,,,,0.5072958601168448,,,,
CYC,P62897,11.5630661030038,,,,,,,,,1.0630730083972393,,,,
ROA1,P49312,4.33751782915669,,,,,,,,,0.6372412729490059,,,,
PLP2,Q9R1Q7,0.704747946908078,,,,,,,,,-0.1519661806536518,,,,
NDKA,P15532,6.03241000517909,,,,,,,,,0.7804908515844439,,,,
RS19,Q9CZX8,12.4867066625798,,,,,,,,,1.0964479094015012,,,,
RL10A,P53026,8.5211496561651,,,,,,,,,0.9304981928471607,,,,
RS13,P62301,10.0567160688174,,,,,,,,,1.0024561888688586,,,,
,,,,,,,,,,,,,,,
RL27A,P14115,11.480337944243,,,,,,,,,1.0599546724835336,,,,
RS8,P62242,11.4061037763712,,,,,,,,,1.0571373186168174,,,,
RL13,P47963,11.1738622484461,,,,,,,,,1.0482033130677746,,,,
,,,,,,,,,,,,,,,
TPM4,Q6IRU2,3.81098699606025,,,,,,,,,0.5810374668648169,,,,
RL6,P47911,9.82437228722483,,,,,,,,,0.9923048113728226,,,,
ACBP,P31786,2.50895092407612,,,,,,,,,0.39949216645156443,,,,
TCPQ,P42932,7.57256045410915,,,,,,,,,0.8792427491268757,,,,
RL23A,P62751,10.1354785395481,,,,,,,,,1.0058442584240772,,,,
UBE2N,P61089,4.00530472968055,,,,,,,,,0.6026355634625039,,,,
RS10,P63325,12.7391248342673,,,,,,,,,1.105139593407203,,,,
1433B,Q9CQV8,2.55735121572942,,,,,,,,,0.4077903762777169,,,,
PRDX2,Q61171,13.2816693256136,,,,,,,,,1.1232526633859574,,,,
RL4,Q9D8E6,12.3353721664889,,,,,,,,,1.091152256980535,,,,
RL15,Q9CZM2,14.9852002856057,,,,,,,,,1.175662551909763,,,,
RL17,Q9CPR4,9.41255804859614,,,,,,,,,0.9737076675734049,,,,
RS11,P62281,11.1516908366009,,,,,,,,,1.0473407207773018,,,,
RL7A,P12970,8.70771131576768,,,,,,,,,0.9399040225684907,,,,
MARE1,Q61166,2.4862650684482,,,,,,,,,0.395547428258816,,,,
PARK7,Q99LX0,2.38323244181587,,,,,,,,,0.37716640209256935,,,,
SODC,P08228,25.1268533345193,,,,,,,,,1.4001381047875512,,,,
RL22,P67984,9.04401278357947,,,,,,,,,0.9563611675426387,,,,
STMN1,P54227,4.4101950351922,,,,,,,,,0.6444577960063391,,,,
RS17,P63276,10.2752674656703,,,,,,,,,1.0117931353999692,,,,
CYBP,Q9CXW3,4.11141321362298,,,,,,,,,0.6139911273223004,,,,
TCP4,P11031,2.13654198023666,,,,,,,,,0.32971143055177093,,,,
TEBP,Q9R0Q7,5.27594670073641,,,,,,,,,0.7223003995178098,,,,
TBCA,P48428,3.11709984855433,,,,,,,,,0.49375071404509147,,,,
TERA,Q01853,9.38695103335406,,,,,,,,,0.9725245523923717,,,,
RS4X,P62702,14.4815823541954,,,,,,,,,1.1608160183631768,,,,
RB11B,P46638,3.67571189864524,,,,,,,,,0.5653414641580502,,,,
GLYM,Q9CZN7,6.48646491071845,,,,,,,,,0.8120080730640041,,,,
ENPL,P08113,29.7374830503585,,,,,,,,,1.4733042075081095,,,,
EF2,P58252,12.8061746951113,,,,,,,,,1.1074194219458535,,,,
BIP,P20029,28.16583219357,,,,,,,,,1.4497225875165505,,,,
RS2,P25444,9.30063049658202,,,,,,,,,0.9685123906942523,,,,
CAVN1,O54724,,,,,,,,,,,,,,
CALM3,P0DP28,,,,,,,,,,,,,,
PRDX3,P20108,2.2780845922819,,,,,,,,,0.3575698467312886,,,,
PCNA,P17918,13.513720898343,,,,,,,,,1.1307749451083267,,,,
