gene_id,uniprot_id,concentration_uM,pKapp
SERPH,P19324,#N/A,#N/A
RL21,O09167,3.13729382722114,#N/A
LMNB2,P21619,2.9131234728957,#N/A
LA,P32067,5.39575847216619,#N/A
NEST,Q6P5H2,#N/A,#N/A
COR1C,Q9WUM4,1.61419730248746,#N/A
6PGD,Q9DCD0,9.47992464186822,#N/A
PDCD5,P56812,1.66248620821243,#N/A
APMAP,Q9D7N9,0.488139662374418,#N/A
NUDC,O35685,3.34479312687677,#N/A
SPTN1,P16546,0.0042815877099486,#N/A
COX41,P19783,3.80785735230821,#N/A
TWF1,Q91YR1,0.31430134739377,#N/A
ROAA,Q99020,7.34755216860675,#N/A
SYTC,Q9D0R2,1.72398372602425,#N/A
SYDC,Q922B2,2.948264745298,#N/A
IF2A,Q6ZWX6,6.65936059399373,#N/A
AHSA1,Q8BK64,2.86431323149536,#N/A
CX6B1,P56391,8.00786607621147,#N/A
AMPL,Q9CPY7,0.906782823865047,#N/A
CAN2,O08529,0.340808632473905,#N/A
PRP8,Q99PV0,0.806434148828367,#N/A
DDX5,Q61656,3.53212746027561,#N/A
EIF1,P48024,4.25950416719944,#N/A
IMB1,P70168,2.06968314958292,#N/A
RL19,P84099,7.39102029657338,#N/A
ARPC2,Q9CVB6,5.29429928783376,#N/A
CDC42,P60766,3.54771670173392,#N/A
ANM1,Q9JIF0,2.05946550216762,#N/A
RL39,P62892,1.72642681380137,#N/A
EIF3I,Q9QZD9,3.59992730454304,#N/A
EZRI,P26040,0.204739054835457,#N/A
RL37A,P61514,5.27913127641064,#N/A
5NTD,Q61503,#N/A,#N/A
HS105,Q61699,2.85752136663758,#N/A
EIF3L,Q8QZY1,1.61504816939302,#N/A
VINC,Q64727,0.38584029489744,#N/A
PFD2,O70591,1.50680868489659,#N/A
JUPI1,P97825,1.98302010444582,#N/A
TCPZ,P80317,3.28855410282789,#N/A
XRCC6,P23475,#N/A,#N/A
RNH1,O70338,0.0149462686301109,#N/A
PABP1,P29341,2.76242175100411,#N/A
EFTU,Q8BFR5,1.52001243326969,#N/A
RL13A,P19253,3.73725550790648,#N/A
DOPD,O35215,0.674858141811781,#N/A
HS71B,P17879,#N/A,#N/A
DEST,Q9R0P5,1.66345513137855,#N/A
IF2B,Q99L45,3.49763797667506,#N/A
AN32B,Q9EST5,0.678581927677288,#N/A
PHB2,O35129,3.06455140041781,#N/A
SEPT2,P42208,0.742445497607853,#N/A
S25A3,Q8VEM8,2.27349351580052,#N/A
ALDR,P45376,3.90044102988279,#N/A
#N/A,#N/A,#N/A,#N/A
CKAP4,Q8BMK4,0.727095235437406,#N/A
CAPZB,P47757,2.90358710155239,#N/A
K1C19,P19001,#N/A,#N/A
PSMD2,Q8VDM4,1.67235706705467,#N/A
#N/A,#N/A,#N/A,#N/A
ITB1,P09055,0.471948622952977,#N/A
HNRPM,Q9D0E1,1.01861280030427,#N/A
HNRPQ,Q7TMK9,2.38909734551445,#N/A
FEN1,P39749,0.624546021256095,#N/A
MYOF,Q69ZN7,0.673141848292802,#N/A
CDK1,P11440,0.978276420940856,#N/A
PA1B3,Q61205,0.0843122310011085,#N/A
RS6,P62754,3.83857763115457,#N/A
DYHC1,Q9JHU4,0.936145827827892,#N/A
ARF1,P84078,#N/A,#N/A
UB2D3,P61079,1.81834578201647,#N/A
THOC4,O08583,1.7150713059932,#N/A
SERB1,Q9CY58,4.89081855796465,#N/A
AATC,P05201,2.12537921290868,#N/A
RALY,Q64012,1.28039470498701,#N/A
1433S,O70456,#N/A,#N/A
ARP3,Q99JY9,3.77397810464344,#N/A
CSRP1,P97315,0.497706525860224,#N/A
ARF4,P61750,0.773055346493772,#N/A
TLN1,P26039,38.0952163089,#N/A
TOM34,Q9CYG7,0.580323212009344,#N/A
PDLI1,O70400,#N/A,#N/A
IQGA1,Q9JKF1,2.75095769295662,#N/A
PCBP2,Q61990,2.45065654606361,#N/A
HMGB2,P30681,7.57666332630068,#N/A
PSB2,Q9R1P3,2.64273248027589,#N/A
LAP2B,Q61029,#N/A,#N/A
DHX9,O70133,1.04521781898859,#N/A
SRSF3,P84104,2.0956492338908,#N/A
PSD13,Q9WVJ2,2.28016111523444,#N/A
GMFB,Q9CQI3,1.26837363337581,#N/A
LGUL,Q9CPU0,2.24645425956183,#N/A
EIF3E,P60229,2.13737860975462,#N/A
SFPQ,Q8VIJ6,1.36646468562383,4.99146658739899
ILF3,Q9Z1X4,0.293610267387961,#N/A
PFKAP,Q9WUA3,0.621438057731267,#N/A
DHE3,P26443,3.54442281309509,#N/A
SRP09,P49962,0.294525512736673,#N/A
ARPC5,Q9CPW4,3.15878022150287,#N/A
TXD17,Q9CQM5,1.58324576962191,#N/A
RL35A,O55142,2.69369755874335,#N/A
ERP29,P57759,4.881705434287,#N/A
RSMB,P27048,1.60521113343501,#N/A
4F2,P10852,2.97547001302296,#N/A
APT,P08030,2.28777090860219,#N/A
PHF5A,P83870,1.11959015394769,#N/A
APEX1,P28352,1.39077965869585,#N/A
IF4A3,Q91VC3,1.41096652394738,#N/A
RL10,Q6ZWV3,3.46887769399866,#N/A
HNRPD,Q60668,1.10885610580801,#N/A
RL32,P62911,2.71165291029845,#N/A
LMNB1,P14733,1.85119936477661,#N/A
CLCA,O08585,2.95244970475488,#N/A
EIF3B,Q8JZQ9,2.54792122852595,#N/A
PPIL3,Q9D6L8,0.0528053124852555,#N/A
RS27,Q6ZWU9,2.31663849867657,#N/A
EXOSX,P56960,0.147794342204777,#N/A
DPYL2,O08553,1.88432015589301,#N/A
PTMS,Q9D0J8,2.23015270989495,#N/A
COX6C,Q9CPQ1,3.63704422915534,#N/A
IKIP,Q9DBZ1,#N/A,#N/A
1433G,P61982,4.23321424279079,#N/A
5MP2,Q9CQC6,2.65544126823284,#N/A
MGN,P61327,1.33262216992594,#N/A
METK2,Q3THS6,2.0004518073305,#N/A
PSA2,P49722,2.78914212225464,#N/A
FKBP4,P30416,4.05625180753719,#N/A
PP2AA,P63330,0.0396150968635328,#N/A
ASCC3,E9PZJ8,0.0290874048161113,#N/A
MARCS,P26645,#N/A,#N/A
ARC1B,Q9WV32,4.53156339124945,#N/A
CD59A,O55186,#N/A,#N/A
YKT6,Q9CQW1,0.917735341416375,#N/A
LMAN2,Q9DBH5,3.26188611340329,#N/A
RPN1,Q91YQ5,5.09257514809461,#N/A
H2AV,Q3THW5,1.57915898347228,#N/A
YBOX1,P62960,2.13402002211413,#N/A
CBX3,P23198,1.68019402127633,#N/A
PAK2,Q8CIN4,1.82478788202595,4.52700390302735
PRS4,P62192,1.55035759316623,#N/A
LPPRC,Q6PB66,0.86190843892691,#N/A
EIF3F,Q9DCH4,1.49287744836426,#N/A
NAMPT,Q99KQ4,0.447290501347254,#N/A
IMA1,P52293,0.519634754868287,#N/A
THIL,Q8QZT1,3.37177555932845,#N/A
GCN1,E9PVA8,2.82866593032965,#N/A
CND1,Q8K2Z4,0.217952306473481,#N/A
RAB18,P35293,1.4777873331703,#N/A
PFD1,Q9CWM4,1.18832106806671,#N/A
CYB5B,Q9CQX2,3.57073666564464,#N/A
FLNC,Q8VHX6,0.0328277762852549,4.20965615505711
OLA1,Q9CZ30,1.10475128268415,#N/A
RBM8A,Q9CWZ3,1.69365138281573,#N/A
ELAV1,P70372,0.975607357935215,#N/A
PSMD7,P26516,1.90452651525715,#N/A
RS15,P62843,3.29725036417389,#N/A
PBDC1,Q9D0B6,2.07937611114532,#N/A
CSK22,O54833,0.208076524124896,#N/A
FKBP3,Q62446,2.75113799490629,#N/A
SRSF2,Q62093,2.49064312079087,#N/A
AN32E,P97822,3.85391381738533,#N/A
MTPN,P62774,2.93170775366273,#N/A
SRSF7,Q8BL97,1.68980925753496,#N/A
DLRB1,P62627,0.826036651657002,#N/A
TBB4B,P68372,0.639754287744784,#N/A
EIF3H,Q91WK2,1.82654312010717,#N/A
ARP2,P61161,2.61630290350608,#N/A
ATP5H,Q9DCX2,3.89570066995055,#N/A
PSB6,Q60692,2.87915099161251,#N/A
PRS7,P46471,2.32144749141982,#N/A
2AAA,Q76MZ3,1.4620958319817,#N/A
SND1,Q78PY7,2.75627461828937,#N/A
HPCL1,P62748,0.52913704791614,#N/A
DNJA1,P63037,1.11017478816041,#N/A
6PGL,Q9CQ60,1.90716560475988,#N/A
SYK,Q99MN1,1.15694217382615,#N/A
TMEDA,Q9D1D4,2.17350995493511,#N/A
ACLY,Q91V92,0.96830238034232,#N/A
S10AD,P97352,0.479250009824838,#N/A
SYSC,P26638,2.91892316219268,#N/A
CD44,P15379,0.569653732356936,#N/A
NDUA9,Q9DC69,0.472650866858265,#N/A
NUDT5,Q9JKX6,1.84471220905841,#N/A
HG2A,P04441,0.810052245459387,#N/A
SORCN,Q6P069,0.722692998766434,#N/A
PDIA4,P08003,4.19806525136039,#N/A
ELOC,P83940,1.90876967665161,#N/A
UBE2K,P61087,1.53934023732336,#N/A
QCR6,P99028,2.80873162844447,#N/A
ARP5L,Q9D898,0.527718986501686,#N/A
RAGP1,P46061,1.59608130176953,#N/A
COX5A,P12787,1.27137036411884,#N/A
TM9S3,Q9ET30,0.517437100591681,#N/A
SARNP,Q9D1J3,2.22770091868886,#N/A
PSB4,P99026,2.76478772673834,#N/A
S10AA,P08207,1.1523720083877,#N/A
BASP1,Q91XV3,#N/A,#N/A
MYO1C,Q9WTI7,0.29682287731631,#N/A
#N/A,#N/A,#N/A,#N/A
UBC12,P61082,1.21014866361396,#N/A
ETFB,Q9DCW4,2.80654348210329,#N/A
DHX15,O35286,1.70493515423941,#N/A
EIF3A,P23116,1.93933677829125,#N/A
TF2AA,Q99PM3,#N/A,#N/A
BAG2,Q91YN9,0.484875037512508,#N/A
CAVN3,Q91VJ2,#N/A,#N/A
TECR,Q9CY27,0.951956912902516,#N/A
TIF1B,Q62318,1.78300168222677,#N/A
IF1AX,Q8BMJ3,0.866215761004442,#N/A
