Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
RPS14,P62263,4.3974787747525,#N/A,#N/A
B2M,P61769,4.39631434421647,#N/A,#N/A
CAPG,P40121,4.37439034323598,#N/A,#N/A
PSAT1,Q9Y617,4.35095877002501,#N/A,#N/A
DTYMK,P23919,4.33255576310683,#N/A,#N/A
GOT2,P00505,4.31224786683363,#N/A,#N/A
PSMA1,P25786,4.3010660542346,#N/A,#N/A
CTSD,P07339,4.29615591052681,#N/A,#N/A
ACTN1,P12814,4.27169823891849,#N/A,#N/A
RPL28,P46779,4.26269687432578,#N/A,#N/A
ILF2,Q12905,4.24996784396907,#N/A,#N/A
LGALS3,P17931,4.23237001058146,#N/A,#N/A
GPI,P06744,4.22300182554032,#N/A,#N/A
CCT4,P50991,4.21712052821848,#N/A,#N/A
KHSRP,Q92945,4.21487471244156,#N/A,#N/A
TGM2,P21980,4.16930093091007,#N/A,#N/A
PSME2,Q9UL46,4.12599616456418,#N/A,#N/A
SNRPD3,P62318,4.1235559569272,#N/A,#N/A
FABP5,Q01469,4.09884349385049,#N/A,#N/A
RPS5,P46782,4.08907632901658,#N/A,#N/A
LASP1,Q14847,4.0852988806952,#N/A,#N/A
BTF3,P20290,4.06911669536368,#N/A,#N/A
G3BP1,Q13283,4.06887381897682,#N/A,#N/A
MDH1,P40925,4.04276262599675,#N/A,#N/A
ANP32A,P39687,4.04034183221905,#N/A,#N/A
GARS1,P41250,4.02293281982963,#N/A,#N/A
SLIRP,Q9GZT3,3.99799962734593,#N/A,#N/A
HDGF,P51858,3.96628577375424,#N/A,#N/A
BOLA2B,Q9H3K6,3.9609939312562,#N/A,#N/A
MYL12B,O14950,3.95517953629607,#N/A,#N/A
LRRC59,Q96AG4,3.95025479663309,#N/A,#N/A
HNRNPL,P14866,3.94187350702877,#N/A,#N/A
UBE2L3,P68036,3.9331280015248,#N/A,#N/A
XRCC5,P13010,3.91318430365382,#N/A,#N/A
CALU,O43852,3.91062774966353,#N/A,#N/A
CNN3,Q15417,3.88025381535476,#N/A,#N/A
HSPA4,P34932,3.86558729412377,#N/A,#N/A
RAB7A,P51149,3.86264558386504,#N/A,#N/A
CCT2,P78371,3.86153346491912,#N/A,#N/A
CSE1L,P55060,3.86020812063485,#N/A,#N/A
CLIC4,Q9Y696,3.84253840692956,#N/A,#N/A
PSMA6,P60900,3.80518306521314,#N/A,#N/A
DUT,P33316,3.78820624146921,#N/A,#N/A
TUBB3,Q13509,3.75716813689784,#N/A,#N/A
RCN1,Q15293,3.73383709738952,#N/A,#N/A
PSMA3,P25788,3.71875898561485,#N/A,#N/A
TUBB2A,Q13885,3.71068235467592,#N/A,#N/A
SRSF1,Q07955,3.70555086705948,#N/A,#N/A
SH3BGRL,O75368,3.65218750030641,#N/A,#N/A
SPTBN1,Q01082,3.6495596077146,#N/A,#N/A
EIF6,P56537,3.64366690048912,#N/A,#N/A
AK1,P00568,3.6322126856114,#N/A,#N/A
PLIN3,O60664,3.62659920128702,#N/A,#N/A
PEA15,Q15121,3.60457912600637,#N/A,#N/A
CDC37,Q16543,3.60306719410289,#N/A,#N/A
PSMA5,P28066,3.59230752413198,#N/A,#N/A
FASN,P49327,3.57970760564729,#N/A,#N/A
HSPB1,P04792,3.57959516512845,#N/A,#N/A
SNRPF,P62306,3.56315228836995,#N/A,#N/A
RPL14,P50914,3.55716607213565,#N/A,#N/A
GANAB,Q14697,3.54532221227046,#N/A,#N/A
SERPINH1,P50454,3.54159049973732,#N/A,#N/A
RPL21,P46778,3.53586658057325,#N/A,#N/A
LMNB2,Q03252,3.51666907317766,#N/A,#N/A
SSB,P05455,3.51078589610406,#N/A,#N/A
NES,P48681,3.50778684772699,#N/A,#N/A
CORO1C,Q9ULV4,3.48908308764041,#N/A,#N/A
PGD,P52209,3.47100199854681,#N/A,#N/A
PDCD5,O14737,3.46472162175693,#N/A,#N/A
APMAP,Q9HDC9,3.45088193415175,#N/A,#N/A
NUDC,Q9Y266,3.45031061668059,#N/A,#N/A
SPTAN1,Q13813,3.44683374557512,#N/A,#N/A
COX4I1,P13073,3.41848398170834,#N/A,#N/A
TWF1,Q12792,3.41232828989727,#N/A,#N/A
HNRNPAB,Q99729,3.40250534198172,#N/A,#N/A
TARS1,P26639,3.39975430792087,#N/A,#N/A
DARS1,P14868,3.39740865021441,#N/A,#N/A
EIF2S1,P05198,3.37902346383615,#N/A,#N/A
AHSA1,O95433,3.37881304314696,#N/A,#N/A
COX6B1,P14854,3.35812884394767,#N/A,#N/A
LAP3,P28838,3.35005541340225,#N/A,#N/A
CAPN2,P17655,3.3496510444364,#N/A,#N/A
PRPF8,Q6P2Q9,3.34145017664197,#N/A,#N/A
DDX5,P17844,3.33944886229927,#N/A,#N/A
EIF1,P41567,3.33183490301889,#N/A,#N/A
KPNB1,Q14974,3.3310258201005,#N/A,#N/A
RPL19,P84098,3.32428364510815,#N/A,#N/A
ARPC2,O15144,3.31662111590518,#N/A,#N/A
CDC42,P60953,3.29745968066671,#N/A,#N/A
PRMT1,Q99873,3.28915069110229,#N/A,#N/A
RPL39,P62891,3.28092230094393,#N/A,#N/A
EIF3I,Q13347,3.24026454804225,#N/A,#N/A
EZR,P15311,3.2155884625648,#N/A,#N/A
RPL37A,P61513,3.18909237340861,#N/A,#N/A
NT5E,P21589,3.17595559359426,#N/A,#N/A
HSPH1,Q92598,3.17514372955529,#N/A,#N/A
EIF3L,Q9Y262,3.17171331009241,#N/A,#N/A
VCL,P18206,3.17016496692411,#N/A,#N/A
PFDN2,Q9UHV9,3.1167898077245,#N/A,#N/A
JPT1,Q9UK76,3.10937481323374,#N/A,#N/A
CCT6A,P40227,3.10891830633635,#N/A,#N/A
XRCC6,P12956,3.10776502492296,#N/A,#N/A
RNH1,P13489,3.10721312181618,#N/A,#N/A
PABPC1,P11940,3.10703409363384,#N/A,#N/A
TUFM,P49411,3.07192893523459,#N/A,#N/A
RPL13A,P40429,3.05309466174815,#N/A,#N/A
DDT,P30046,3.05206103897404,#N/A,#N/A
HSPA1B,P0DMV9,3.04138421869135,#N/A,#N/A
DSTN,P60981,3.02406823092934,#N/A,#N/A
EIF2S2,P20042,3.02077037071988,#N/A,#N/A
ANP32B,Q92688,3.01177544851897,#N/A,#N/A
PHB2,Q99623,2.99791450015195,#N/A,#N/A
SEPTIN2,Q15019,2.98994231049219,#N/A,#N/A
SLC25A3,Q00325,2.9817666169274,#N/A,#N/A
AKR1B1,P15121,2.97194065263287,#N/A,#N/A
CFHR3,Q02985,2.96346353352837,#N/A,#N/A
CKAP4,Q07065,2.94335788555214,#N/A,#N/A
CAPZB,P47756,2.92620130067582,#N/A,#N/A
KRT19,P08727,2.90188270648685,#N/A,#N/A
PSMD2,Q13200,2.89549405592121,#N/A,#N/A
MT2A,P02795,2.85316732421108,#N/A,#N/A
ITGB1,P05556,2.81138595374804,#N/A,#N/A
HNRNPM,P52272,2.81019078559693,#N/A,#N/A
SYNCRIP,O60506,2.79264380639536,#N/A,#N/A
FEN1,P39748,2.78215137055859,#N/A,#N/A
MYOF,Q9NZM1,2.76711357280309,#N/A,#N/A
CDK1,P06493,2.75177415769643,#N/A,#N/A
PAFAH1B3,Q15102,2.74964584794368,#N/A,#N/A
RPS6,P62753,2.74953095538689,#N/A,#N/A
DYNC1H1,Q14204,2.74952791999924,#N/A,#N/A
ARF1,P84077,2.74247113762897,#N/A,#N/A
UBE2D3,P61077,2.72832881448611,#N/A,#N/A
ALYREF,Q86V81,2.71184445246238,#N/A,#N/A
SERBP1,Q8NC51,2.71042668381333,#N/A,#N/A
GOT1,P17174,2.70970852377452,#N/A,#N/A
RALY,Q9UKM9,2.70928129379577,#N/A,#N/A
SFN,P31947,2.70070928053562,#N/A,#N/A
ACTR3,P61158,2.68959667769687,#N/A,#N/A
CSRP1,P21291,2.68339661040051,#N/A,#N/A
ARF4,P18085,2.64036588048132,#N/A,#N/A
TLN1,Q9Y490,2.63950762189999,#N/A,#N/A
TOMM34,Q15785,2.63351732808099,#N/A,#N/A
PDLIM1,O00151,2.62412795198313,#N/A,#N/A
IQGAP1,P46940,2.61350136560544,#N/A,#N/A
PCBP2,Q15366,2.61237201252127,#N/A,#N/A
HMGB2,P26583,2.59932936471069,#N/A,#N/A
PSMB2,P49721,2.59519491202117,#N/A,#N/A
TMPO,P42166,2.58556163518106,#N/A,#N/A
DHX9,Q08211,2.58501008829342,#N/A,#N/A
SRSF3,P84103,2.58325303598185,#N/A,#N/A
PSMD13,Q9UNM6,2.56983179562435,#N/A,#N/A
GMFB,P60983,2.56334300707481,#N/A,#N/A
GLO1,Q04760,2.56097192295883,#N/A,#N/A
EIF3E,P60228,2.52359047853989,#N/A,#N/A
SFPQ,P23246,2.52038117199833,4.14103501303158,4.66644608257799
ILF3,Q12906,2.51097420545377,#N/A,#N/A
PFKP,Q01813,2.51085551247756,#N/A,#N/A
GLUD1,P00367,2.51001754416916,#N/A,#N/A
SRP9,P49458,2.50135850508735,#N/A,#N/A
ARPC5,O15511,2.49865284602874,#N/A,#N/A
TXNDC17,Q9BRA2,2.49776237797017,#N/A,#N/A
RPL35A,P18077,2.49590310719275,#N/A,#N/A
ERP29,P30040,2.48882023558326,#N/A,#N/A
SNRPB,P14678,2.4798149655781,#N/A,#N/A
SLC3A2,P08195,2.46162250692993,#N/A,#N/A
APRT,P07741,2.45411490516197,#N/A,#N/A
PHF5A,Q7RTV0,2.45160942311918,#N/A,#N/A
APEX1,P27695,2.44635710932014,#N/A,#N/A
EIF4A3,P38919,2.43305733290694,#N/A,#N/A
RPL10,P27635,2.43284850032575,#N/A,#N/A
HNRNPD,Q14103,2.4312206576473,#N/A,#N/A
RPL32,P62910,2.41936739320007,#N/A,#N/A
LMNB1,P20700,2.40620669096024,#N/A,#N/A
CLTA,P09496,2.39076361082894,#N/A,#N/A
EIF3B,P55884,2.38936752153661,#N/A,#N/A
PPIL3,Q9H2H8,2.38143660723006,#N/A,#N/A
RPS27,P42677,2.37972795213684,#N/A,#N/A
EXOSC10,Q01780,2.37856908293691,#N/A,#N/A
DPYSL2,Q16555,2.37343281206891,#N/A,#N/A
PTMS,P20962,2.35333788063531,#N/A,#N/A
COX6C,P09669,2.34598168215012,#N/A,#N/A
IKBIP,Q70UQ0,2.34417480422542,#N/A,#N/A
YWHAG,P61981,2.32294117514483,#N/A,#N/A
BZW1,Q7L1Q6,2.31325516715809,#N/A,#N/A
MAGOH,P61326,2.31266686897912,#N/A,#N/A
MAT2A,P31153,2.31173924820282,#N/A,#N/A
