Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK,SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK
gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome
VIM,P08670,182.842833127068,,,,2.262077942008671,,VIM,P08670,182.842833127068,,,,2.262077942008671,,,,,,VIME,P20152,14.7823400658583,,,,1.169743188946912,,VIME,P20152,14.7823400658583,,,,1.169743188946912,,,,,
PFN1,P07737,93.0360874603808,,,,1.968651438284286,,PFN1,P07737,93.0360874603808,,,,1.968651438284286,,,,,,PROF1,P62962,29.8066161044897,,,,1.4743126741015562,,PROF1,P62962,29.8066161044897,,,,1.4743126741015562,,,,,
ANXA2,P07355,92.8613032351606,,,,1.9678347743534943,,ANXA2,P07355,92.8613032351606,,,,1.9678347743534943,,,,,,ANXA2,P07356,10.5494940924842,,,,1.0232316332725158,,ANXA2,P07356,10.5494940924842,,,,1.0232316332725158,,,,,
GAPDH,P04406,71.6254343791058,,,,1.8550672688026948,,GAPDH,P04406,71.6254343791058,,,,1.8550672688026948,,,,,,G3P,P16858,73.6349773444249,,,,1.867084157534409,,G3P,P16858,73.6349773444249,,,,1.867084157534409,,,,,
LGALS1,P09382,65.7452570555802,,,,1.817864427749062,,LGALS1,P09382,65.7452570555802,,,,1.817864427749062,,,,,,LEG1,P16045,38.0472628408389,,,,1.5803234186393624,,LEG1,P16045,38.0472628408389,,,,1.5803234186393624,,,,,
PKM,P14618,52.527383207025,,,,1.720385765793462,,PKM,P14618,52.527383207025,,,,1.720385765793462,,,,,,KPYM,P52480,66.41707250761,,,,1.822279729109246,,KPYM,P52480,66.41707250761,,,,1.822279729109246,,,,,
EEF1A1,P68104,52.1054990969087,,,,1.7168835601788794,,EEF1A1,P68104,52.1054990969087,,,,1.7168835601788794,,,,,,EF1A1,P10126,111.013344883705,,,,2.0453751883451843,,EF1A1,P10126,111.013344883705,,,,2.0453751883451843,,,,,
HSPE1,P61604,51.9672656813104,,,,1.715729866510007,,HSPE1,P61604,51.9672656813104,,,,1.715729866510007,,,,,,CH10,Q64433,29.468065797522,,,,1.4693516308946974,,CH10,Q64433,29.468065797522,,,,1.4693516308946974,,,,,
H4C16,P62805,50.0261366671109,,,,1.699196965227205,,H4C16,P62805,50.0261366671109,,,,1.699196965227205,,,,,,H4,P62806,31.9056819337397,,,,1.5038680314186883,,H4,P62806,31.9056819337397,,,,1.5038680314186883,,,,,
RPS3A,P61247,42.5772492609899,,,,1.6291776000482296,,RPS3A,P61247,42.5772492609899,,,,1.6291776000482296,,,,,,RS3A,P97351,12.7093202656969,,,,1.1041223237443232,,RS3A,P97351,12.7093202656969,,,,1.1041223237443232,,,,,
