gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
RL14,Q9CR57,4.91804965914698,,,
GANAB,Q8BHN3,2.60487938220174,,,
SERPH,P19324,,,,
RL21,O09167,3.13729382722114,,,
LMNB2,P21619,2.9131234728957,,,
LA,P32067,5.39575847216619,,,
NEST,Q6P5H2,,,,
COR1C,Q9WUM4,1.61419730248746,,,
6PGD,Q9DCD0,9.47992464186822,,,
PDCD5,P56812,1.66248620821243,,,
APMAP,Q9D7N9,0.488139662374418,,,
NUDC,O35685,3.34479312687677,,,
SPTN1,P16546,0.0042815877099486,,,
COX41,P19783,3.80785735230821,,,
TWF1,Q91YR1,0.31430134739377,,,
ROAA,Q99020,7.34755216860675,,,
SYTC,Q9D0R2,1.72398372602425,,,
SYDC,Q922B2,2.948264745298,,,
IF2A,Q6ZWX6,6.65936059399373,,,
AHSA1,Q8BK64,2.86431323149536,,,
CX6B1,P56391,8.00786607621147,,,
AMPL,Q9CPY7,0.906782823865047,,,
CAN2,O08529,0.340808632473905,,,
PRP8,Q99PV0,0.806434148828367,,,
DDX5,Q61656,3.53212746027561,,,
EIF1,P48024,4.25950416719944,,,
IMB1,P70168,2.06968314958292,,,
RL19,P84099,7.39102029657338,,,
ARPC2,Q9CVB6,5.29429928783376,,,
CDC42,P60766,3.54771670173392,,,
ANM1,Q9JIF0,2.05946550216762,,,
RL39,P62892,1.72642681380137,,,
EIF3I,Q9QZD9,3.59992730454304,,,
EZRI,P26040,0.204739054835457,,,
RL37A,P61514,5.27913127641064,,,
5NTD,Q61503,,,,
HS105,Q61699,2.85752136663758,,,
EIF3L,Q8QZY1,1.61504816939302,,,
VINC,Q64727,0.38584029489744,,,
PFD2,O70591,1.50680868489659,,,
JUPI1,P97825,1.98302010444582,,,
TCPZ,P80317,3.28855410282789,,,
XRCC6,P23475,,,,
RNH1,O70338,0.0149462686301109,,,
PABP1,P29341,2.76242175100411,,,
EFTU,Q8BFR5,1.52001243326969,,,
RL13A,P19253,3.73725550790648,,,
DOPD,O35215,0.674858141811781,,,
HS71B,P17879,,,,
DEST,Q9R0P5,1.66345513137855,,,
IF2B,Q99L45,3.49763797667506,,,
AN32B,Q9EST5,0.678581927677288,,,
PHB2,O35129,3.06455140041781,,,
SEPT2,P42208,0.742445497607853,,,
S25A3,Q8VEM8,2.27349351580052,,,
ALDR,P45376,3.90044102988279,,,
,,,,,
CKAP4,Q8BMK4,0.727095235437406,,,
CAPZB,P47757,2.90358710155239,,,
K1C19,P19001,,,,
PSMD2,Q8VDM4,1.67235706705467,,,
,,,,,
ITB1,P09055,0.471948622952977,,,
HNRPM,Q9D0E1,1.01861280030427,,,
HNRPQ,Q7TMK9,2.38909734551445,,,
FEN1,P39749,0.624546021256095,,,
MYOF,Q69ZN7,0.673141848292802,,,
CDK1,P11440,0.978276420940856,,,
PA1B3,Q61205,0.0843122310011085,,,
RS6,P62754,3.83857763115457,,,
DYHC1,Q9JHU4,0.936145827827892,,,
ARF1,P84078,,,,
UB2D3,P61079,1.81834578201647,,,
THOC4,O08583,1.7150713059932,,,
SERB1,Q9CY58,4.89081855796465,,,
AATC,P05201,2.12537921290868,,,
RALY,Q64012,1.28039470498701,,,
1433S,O70456,,,,
ARP3,Q99JY9,3.77397810464344,,,
CSRP1,P97315,0.497706525860224,,,
ARF4,P61750,0.773055346493772,,,
TLN1,P26039,38.0952163089,,,
TOM34,Q9CYG7,0.580323212009344,,,
PDLI1,O70400,,,,
IQGA1,Q9JKF1,2.75095769295662,,,
PCBP2,Q61990,2.45065654606361,,,
HMGB2,P30681,7.57666332630068,,,
PSB2,Q9R1P3,2.64273248027589,,,
LAP2B,Q61029,,,,
DHX9,O70133,1.04521781898859,,,
SRSF3,P84104,2.0956492338908,,,
PSD13,Q9WVJ2,2.28016111523444,,,
GMFB,Q9CQI3,1.26837363337581,,,
LGUL,Q9CPU0,2.24645425956183,,,
EIF3E,P60229,2.13737860975462,,,
SFPQ,Q8VIJ6,1.36646468562383,4.41165394742077,38.75663407900788,0.0018121578080751988
ILF3,Q9Z1X4,0.293610267387961,,,
PFKAP,Q9WUA3,0.621438057731267,,,
DHE3,P26443,3.54442281309509,,,
SRP09,P49962,0.294525512736673,,,
ARPC5,Q9CPW4,3.15878022150287,,,
TXD17,Q9CQM5,1.58324576962191,,,
RL35A,O55142,2.69369755874335,,,
ERP29,P57759,4.881705434287,,,
RSMB,P27048,1.60521113343501,,,
4F2,P10852,2.97547001302296,,,
